"","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","tomatoMeter","tomatoImage","tomatoRating","tomatoReviews","tomatoFresh","tomatoRotten","tomatoConsensus","tomatoUserMeter","tomatoUserRating","tomatoUserReviews","DVD","BoxOffice","Production","Website","Response"
"130","Casablanca","1942","PG","23 Jan 1943","102 min","Drama, Romance, War","Michael Curtiz","Julius J. Epstein (screenplay), Philip G. Epstein (screenplay), Howard Koch (screenplay), Murray Burnett (play), Joan Alison (play)","Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains","Set in Casablanca, Morocco during the early days of World War II: An American expatriate meets a former lover, with unforeseen complications.","English, French, German, Italian","USA","Won 3 Oscars. Another 6 wins & 6 nominations.","http://ia.media-imdb.com/images/M/MV5BMjQwNDYyNTk2N15BMl5BanBnXkFtZTgwMjQ0OTMyMjE@._V1_SX300.jpg","N/A","8.6","357,332","tt0034583","movie","97","certified","9.3","73","71","2","An undisputed masterpiece and perhaps Hollywood's quintessential statement on love and romance, Casablanca has only improved with age, boasting career-defining performances from Humphrey Bogart and Ingrid Bergman.","95","4.1","354223","15 Feb 2000","N/A","Warner Bros. Pictures","http://www.FathomEvents.com","True"
"131","For Whom the Bell Tolls","1943","UNRATED","28 Apr 1944","170 min","Adventure, Drama, History","Sam Wood","Ernest Hemingway (novel), Dudley Nichols (screenplay)","Gary Cooper, Ingrid Bergman, Akim Tamiroff, Arturo de Córdova","Spain in the 1930s is the place to be for a man of action like Robert Jordan. There is a civil war going on and Jordan who has joined up on the side that appeals most to idealists of that era -- like Ernest Hemingway and his friends -- has been given a high-risk assignment up in the mountains. He awaits the right time to blow up a bridge in a cave. Pilar, who is in charge there, has an ability to foretell the future. And so that night she encourages Maria, a young girl ravaged by enemy soldiers, to join Jordan who has decided to spend the night under the stars.","English, Spanish","USA","Won 1 Oscar. Another 2 wins & 9 nominations.","http://ia.media-imdb.com/images/M/MV5BMTgwNDk3ODg4M15BMl5BanBnXkFtZTcwNjA1MTkxMQ@@._V1_SX300.jpg","N/A","7.0","5,734","tt0035896","movie","77","fresh","6.4","13","10","3","N/A","63","3.5","3921","17 Nov 1998","N/A","MCA Universal Home Video","N/A","True"
"132","Heaven Can Wait","1943","UNRATED","11 Aug 1943","112 min","Comedy, Drama, Fantasy","Ernst Lubitsch","Samson Raphaelson (screenplay), Leslie Bush-Fekete (play)","Gene Tierney, Don Ameche, Charles Coburn, Marjorie Main","Henry Van Cleve presents himself at the gates of Hell only to find he is closely vetted on his qualifications for entry. Surprised there is any question on his suitability, he recounts his lively life and the women he has known from his mother onwards, but mainly concentrating on his happy but sometimes difficult twenty-five years of marriage to Martha.","English, French","USA","N/A","http://ia.media-imdb.com/images/M/MV5BMTU3NjY2MDAyM15BMl5BanBnXkFtZTcwNzExMTkyMQ@@._V1_SX300.jpg","N/A","7.6","6,797","tt0035979","movie","89","fresh","7.8","9","8","1","N/A","76","3.7","4294","14 Jun 2005","N/A","Twentieth Century Fox Home Entertainment","N/A","True"
"133","The Human Comedy","1943","UNRATED","14 Feb 1944","117 min","Comedy, Drama, Family","Clarence Brown","William Saroyan (from the story by), Howard Estabrook (screen play)","Mickey Rooney, Frank Morgan, James Craig, Marsha Hunt","Homer Macauley remains in a small town looking after his widowed mother and younger brother. Homer's older brother is fighting the war in Europe.","English, Spanish","USA","Won 1 Oscar. Another 3 wins & 4 nominations.","http://ia.media-imdb.com/images/M/MV5BMTU2OTM4OTAxOF5BMl5BanBnXkFtZTgwOTc3NDE3MjE@._V1_SX300.jpg","N/A","7.2","1,260","tt0036022","movie","80","fresh","5.8","5","4","1","N/A","73","3.6","340","22 Dec 2010","N/A","Warner Home Video","N/A","True"
"134","In Which We Serve","1942","NOT RATED","23 Dec 1942","115 min","Drama, War","Noel Coward, David Lean","Noel Coward (by)","Noel Coward, Derek Elphinstone, Michael Wilding, Robert Sansom","This is the story of a British Naval ship, HMS Torrin, from its construction to its sinking in the Mediterranean during action in World War II. The ship's first and only commanding officer is the experienced Captain E.V. Kinross who trains his men not only to be loyal to him but to the country and most importantly, to themselves. They face challenges at sea and also at home. They lose some of their shipmates in action and some of their loved ones in the devastation that is the blitz. Throughout it all, the men of the Torrin serve valiantly and heroically.","English","UK","Nominated for 2 Oscars. Another 6 wins.","http://ia.media-imdb.com/images/M/MV5BOTE2Mzk4MjE1N15BMl5BanBnXkFtZTgwNDUxNjIzMTE@._V1_SX300.jpg","N/A","7.4","3,537","tt0034891","movie","93","fresh","7.8","15","14","1","N/A","77","3.9","805","20 Mar 2007","N/A","MCA Universal Home Video","N/A","True"
"135","Madame Curie","1943","NOT RATED","01 Feb 1944","124 min","Biography, Drama, Romance","Mervyn LeRoy, Albert Lewin","Paul Osborn (screen play), Hans Rameau (screen play), Ève Curie (book)","Greer Garson, Walter Pidgeon, Henry Travers, Albert Bassermann","Biopic of the famed scientist and the work she did with her husband Pierre in the discovery of radium. Marie was a student at the Sorbonne studying for her Master's degree in physics when they first met. She received permission to use space in Professor Pierre Curie's laboratory. They soon fall in love and are married, working together on trying to isolate a radioactive substance Marie has identified as radium. Years of painstaking research and experimentation led to success and Marie and Pierre Curie shared the Nobel Prize in Physics. Sadly, Pierre was killed crossing the street in the rain when he was run over by a horse and wagon. Marie continued to work and make major contributions to science.","English","USA","N/A","http://ia.media-imdb.com/images/M/MV5BMjI4NzAwNDUwNl5BMl5BanBnXkFtZTgwMTA1MjkyMTE@._V1_SX300.jpg","N/A","7.2","1,669","tt0036126","movie","83","fresh","6.3","6","5","1","N/A","65","3.6","468","30 Jan 2007","N/A","Warner Bros. Pictures","N/A","True"
"136","The More the Merrier","1943","PASSED","23 Oct 1943","104 min","Comedy, Romance","George Stevens","Robert Russell (screen play), Frank Ross (screen play), Richard Flournoy (screen play), Lewis R. Foster (screen play), Robert Russell (story), Frank Ross (story)","Jean Arthur, Joel McCrea, Charles Coburn, Richard Gaines","It's World War II and there is a severe housing shortage everywhere - especially in Washington, D.C. where Connie Milligan rents an apartment. Believing it to be her patriotic duty, Connie offers to sublet half of her apartment, fully expecting a suitable female tenent. What she gets instead is mischievous, middle-aged Benjamin Dingle. Dingle talks her into subletting to him and then promptly sublets half of his half to young, irreverent Joe Carter - creating a situation tailor-made for comedy and romance.","English","USA","Won 1 Oscar. Another 1 win & 5 nominations.","http://ia.media-imdb.com/images/M/MV5BMjA1MzQ5NTIxMV5BMl5BanBnXkFtZTcwNDg4ODYyMQ@@._V1_SX300.jpg","N/A","8.0","3,746","tt0036172","movie","94","fresh","8.2","16","15","1","N/A","82","3.9","1254","02 Nov 2004","N/A","Columbia Pictures","N/A","True"
"137","The Ox-Bow Incident","1943","NOT RATED","21 May 1943","75 min","Crime, Drama, Western","William A. Wellman","Lamar Trotti (written for the screen by), Walter Van Tilburg Clark (from the novel by)","Henry Fonda, Dana Andrews, Mary Beth Hughes, Anthony Quinn","Two drifters are passing through a Western town, when news comes in that a local farmer has been murdered and his cattle stolen. The townspeople, joined by the drifters, form a posse to catch the perpetrators. They find three men in possession of the cattle, and are determined to see justice done on the spot.","English, Spanish","USA","Nominated for 1 Oscar. Another 4 wins.","http://ia.media-imdb.com/images/M/MV5BMTA0OTgwODE2NjleQTJeQWpwZ15BbWU4MDYxMjYxNjIx._V1_SX300.jpg","N/A","8.1","15,091","tt0036244","movie","94","fresh","8.1","18","17","1","N/A","92","4.0","4982","04 Nov 2003","N/A","20th Century Fox Film Corporat","N/A","True"
"138","The Song of Bernadette","1943","APPROVED","01 Apr 1945","156 min","Biography, Drama","Henry King","George Seaton (screenplay), Franz Werfel (novel)","Jennifer Jones, Charles Bickford, Vincent Price, Lee J. Cobb","In 1858 France, Bernadette, an adolescent peasant girl, has a vision of ""a beautiful lady"" in the city dump. She never claims it to be anything other than this, but the townspeople all assume it to be the virgin Mary. The pompous government officials think she is nuts, and do their best to suppress the girl and her followers, and the church wants nothing to do with the whole matter. But as Bernadette attracts wider and wider attention, the phenomenon overtakes everyone in the the town, and transforms their lives.","English, French","USA","Won 4 Oscars. Another 4 wins & 8 nominations.","http://ia.media-imdb.com/images/M/MV5BNDYwOTI3MDA5MF5BMl5BanBnXkFtZTcwMzU4MDAwMQ@@._V1._CR32,43,281,402_SY132_CR1,0,89,132_AL_.jpg_V1_SX300.jpg","N/A","7.7","4,197","tt0036377","movie","80","fresh","6.9","10","8","2","N/A","80","3.8","3202","03 Jun 2003","N/A","Twentieth Century Fox Home Entertainment","N/A","True"
"139","Watch on the Rhine","1943","APPROVED","27 Aug 1943","114 min","Drama","Herman Shumlin, Hal Mohr","Dashiell Hammett (screen play), Lillian Hellman (additional scenes and dialogue), Lillian Hellman (from the stage play by)","Bette Davis, Paul Lukas, Geraldine Fitzgerald, Lucile Watson","Sara and Kurt Muller and their three children are returning to her mother's home in Washington DC after 18 years in Europe. A Romanian Count living there discovers Kurt's attache case full ...","English, German","USA","Won 1 Oscar. Another 4 wins & 3 nominations.","http://ia.media-imdb.com/images/M/MV5BMTMwNTc1MDA3MF5BMl5BanBnXkFtZTcwMTM1MjQxMw@@._V1_SX300.jpg","N/A","7.4","2,553","tt0036515","movie","80","fresh","6.8","5","4","1","N/A","63","3.6","564","01 Apr 2008","N/A","Warner Home Video","N/A","True"
"140","Double Indemnity","1944","PASSED","24 Apr 1944","107 min","Crime, Drama, Film-Noir","Billy Wilder","Billy Wilder (screenplay), Raymond Chandler (screenplay), James M. Cain (from the novel by)","Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall","In 1938, Walter Neff, an experienced salesman of the Pacific All Risk Insurance Co., meets the seductive wife of one of his clients, Phyllis Dietrichson, and they have an affair. Phyllis proposes to kill her husband to receive the proceeds of an accident insurance policy and Walter devises a scheme to receive twice the amount based on a double indemnity clause. When Mr. Dietrichson is found dead on a train-track, the police accept the determination of accidental death. However, the insurance analyst and Walter's best friend Barton Keyes does not buy the story and suspects that Phyllis has murdered her husband with the help of another man.","English","USA","Nominated for 7 Oscars. Another 2 wins & 2 nominations.","http://ia.media-imdb.com/images/M/MV5BMTQzOTE4MTIzMV5BMl5BanBnXkFtZTgwODc1NDQ5MDE@._V1_SX300.jpg","N/A","8.4","89,008","tt0036775","movie","96","certified","9.0","54","52","2","A dark, tautly constructed adaptation of James M. Cain's novel -- penned by Billy Wilder and Raymond Chandler -- Double Indemnity continues to set the standard for the best in Hollywood film noir.","95","4.2","34925","10 Oct 2000","N/A","Paramount Pictures","N/A","True"
"141","Gaslight","1944","PASSED","01 May 1944","114 min","Crime, Drama, Mystery","George Cukor","John Van Druten (screenplay), Walter Reisch (screenplay), John L. Balderston (screenplay), Patrick Hamilton (play)","Charles Boyer, Ingrid Bergman, Joseph Cotten, Dame May Whitty","Paula's aunt, Alice Alquist, a famous entertainer, is murdered in her home. Paula, who lives with her aunt, finds the body. Police fail to find the killer, and Paula is sent away to school. Ten years later, Paula returns to London with her new husband. They take up residence in her aunt's house, which she has inherited. Paula is increasingly isolated by her husband but does come to the attention of an admirer of her aunt, Mr. Brian Cameron.","English","USA","Won 2 Oscars. Another 2 wins & 6 nominations.","http://ia.media-imdb.com/images/M/MV5BMTUyMzg4MTYxNl5BMl5BanBnXkFtZTcwOTY0MjUyMQ@@._V1_SX300.jpg","N/A","7.9","15,772","tt0036855","movie","83","fresh","7.7","24","20","4","N/A","91","4.0","8213","03 Feb 2004","N/A","MGM","N/A","True"
"142","Going My Way","1944","PASSED","02 Oct 1944","126 min","Comedy, Drama, Music","Leo McCarey","Frank Butler (screenplay), Frank Cavett (screenplay), Leo McCarey (story)","Bing Crosby, Barry Fitzgerald, Frank McHugh, James Brown","Youthful Father Chuck O'Malley led a colorful life of sports, song, and romance before joining the Roman Catholic clergy, but his level gaze and twinkling eyes make it clear that he knows he made the right choice. After joining a parish, O'Malley's worldly knowledge helps him connect with a gang of kids looking for direction and handle the business details of the church-building fund, winning over his aging, conventional superior, Father Fitzgibbon.","English","USA","Won 7 Oscars. Another 11 wins & 3 nominations.","http://ia.media-imdb.com/images/M/MV5BMTUxNjU1NjMwM15BMl5BanBnXkFtZTYwNTA0NjM5._V1_SX300.jpg","N/A","7.3","6,753","tt0036872","movie","78","fresh","7.1","23","18","5","Bing Crosby and Barry Fitzgerald are eminently likable, and film is pleasantly sentimental, but Going My Way suffers from a surplus of sweetness.","77","3.7","5663","06 Feb 2007","N/A","Paramount Pictures","N/A","True"
"143","Since You Went Away","1944","APPROVED","20 Jul 1944","177 min","Drama, Romance, War","John Cromwell, Edward F. Cline, Tay Garnett, David O. Selznick","Margaret Buell Wilder (book), Margaret Buell Wilder (adaptation), David O. Selznick (screenplay)","Claudette Colbert, Jennifer Jones, Joseph Cotten, Shirley Temple","While husband Tim is away during World War II, Anne Hilton copes with problems on the homefront. Taking in a lodger, Colonel Smollett, to help make ends meet and dealing with shortages and rationing are minor inconveniences compared to the love affair daughter Jane and the Colonel's grandson conduct.","English, Yiddish","USA","Won 1 Oscar. Another 8 nominations.","http://ia.media-imdb.com/images/M/MV5BMTcyNDE3MjI0NV5BMl5BanBnXkFtZTgwODg0MTM1MjE@._V1_SX300.jpg","N/A","7.7","3,228","tt0037280","movie","75","fresh","6.9","8","6","2","N/A","83","3.9","1281","19 Oct 2004","N/A","United Artists","N/A","True"
"144","Wilson","1944","UNRATED","01 Aug 1945","154 min","Biography, Drama, History","Henry King","Lamar Trotti (screenplay)","Alexander Knox, Geraldine Fitzgerald, Thomas Mitchell, Ruth Nelson","The political career of Woodrow Wilson is chronicled, beginning with his decision to leave his post at Princeton to run for Governor of New Jersey, and his subsequent ascent to the Presidency of the United States. During his terms in office, Wilson must deal with the death of his first wife, the onslaught of German hostilities leading to American involvement in the Great War, and his own country's reticence to join the League of Nations.","English","USA","Won 5 Oscars. Another 2 wins & 7 nominations.","http://ia.media-imdb.com/images/M/MV5BMjEyMDcwODY0Ml5BMl5BanBnXkFtZTcwMTM3NzQyMQ@@._V1_SX300.jpg","N/A","7.0","964","tt0037465","movie","88","fresh","6.7","8","7","1","N/A","49","3.4","343","N/A","N/A","Twentieth Century Fox Film Cor","N/A","True"
"145","Anchors Aweigh","1945","UNRATED","13 Aug 1945","143 min","Comedy, Fantasy, Musical","George Sidney","Isobel Lennart (screen play), Natalie Marcin (suggested by a story by)","Frank Sinatra, Kathryn Grayson, Gene Kelly, José Iturbi","Two sailors, one naive, the other experienced in the ways of the world, on liberty in Los Angeles, is the setting for this movie musical.","English, Spanish","USA","Won 1 Oscar. Another 4 nominations.","http://ia.media-imdb.com/images/M/MV5BMjA2NzUxODEzNl5BMl5BanBnXkFtZTcwODAyMTcxMQ@@._V1_SX300.jpg","N/A","7.2","5,492","tt0037514","movie","62","fresh","6.8","13","8","5","N/A","81","3.7","8204","02 May 2000","N/A","MGM Home Entertainment","N/A","True"
"146","The Bells of St. Mary's","1945","UNRATED","21 Feb 1946","126 min","Drama, Family","Leo McCarey","Dudley Nichols (screenplay), Leo McCarey (story)","Bing Crosby, Ingrid Bergman, Henry Travers, William Gargan","Father O'Malley, the unconventional priest from 'Going My Way', continues his work for the Catholic Church. This time he is sent to St. Mary's, a run-down parochial school on the verge of condemnation. He and Sister Benedict work together in an attempt to save the school, though their differing methods often lead to good-natured disagreements.","English","USA","Won 1 Oscar. Another 3 wins & 7 nominations.","http://ia.media-imdb.com/images/M/MV5BMTY1NjU1MzUzNF5BMl5BanBnXkFtZTcwMTkwNDgxMQ@@._V1_SX300.jpg","N/A","7.5","5,174","tt0037536","movie","94","fresh","7.3","18","17","1","N/A","77","3.7","7061","23 Sep 2003","N/A","RKO Radio Pictures","N/A","True"
"147","The Lost Weekend","1945","NOT RATED","16 Nov 1945","101 min","Drama","Billy Wilder","Charles R. Jackson (from the novel by), Charles Brackett (screen play), Billy Wilder (screen play)","Ray Milland, Jane Wyman, Phillip Terry, Howard Da Silva","The desperate life of a chronic alcoholic is followed through a four day drinking bout.","English","USA","Won 4 Oscars. Another 12 wins & 3 nominations.","http://ia.media-imdb.com/images/M/MV5BMTk4NDQ0NjgyNF5BMl5BanBnXkFtZTgwMTE3NTkxMTE@._V1_SX300.jpg","N/A","8.0","23,061","tt0037884","movie","100","fresh","8.2","32","32","0","Director Billy Wilder's unflinchingly honest look at the effects of alcoholism may have had some of its impact blunted by time, but it remains a powerful and remarkably prescient film.","89","4.0","8518","06 Feb 2001","N/A","Paramount Pictures","N/A","True"
"148","Mildred Pierce","1945","NOT RATED","20 Oct 1945","111 min","Crime, Drama, Film-Noir","Michael Curtiz","Ranald MacDougall (screenplay), James M. Cain (novel)","Joan Crawford, Jack Carson, Zachary Scott, Eve Arden","Mildred Pierce dotes on her daughters while husband Bert looks to Maggie Binderhof for affection. They separate leaving Mildred to raise the girls on her own. Elder daughter Veda goads her mother about their lack of money and in response Mildred proposes opening a small restaurant. Realtor Wally Fay advises her while making numerous rebuffed passes and introduces her to Monte Baragon whose property becomes the first of a chain of restaurants. Mildred has an affair with Monte. Meanwhile, money-hungry Veda pretends to be pregnant by wealthy Ted Forrester in order to bilk his family of $10,000. Mildred tears up the check, is slapped by Veda, and orders her daughter to leave. After time away, Mildred returns to find Veda singing in a cheap club. Veda will return only if Mildred promises luxury, so Mildred agrees to marry Monte in exchange for a third of her businesses. It soon becomes clear that something is going on between Veda and Monte. Mildred learns of this only after Monte has sold out his third of the her business leaving her bankrupt. She goes to Monte's beach house to kill him... Shots ring out, but what really happened?","English","USA","Won 1 Oscar. Another 3 wins & 5 nominations.","http://ia.media-imdb.com/images/M/MV5BMTIzNDc4MzMyNl5BMl5BanBnXkFtZTcwMjk5MDAyMQ@@._V1._CR2,1,319,449_SY132_CR2,0,89,132_AL_.jpg_V1_SX300.jpg","N/A","8.0","14,878","tt0037913","movie","82","fresh","7.7","34","28","6","N/A","91","4.1","7968","04 Feb 2003","N/A","MGM Home Entertainment","N/A","True"
"149","Spellbound","1945","UNRATED","28 Dec 1945","111 min","Film-Noir, Mystery, Romance","Alfred Hitchcock","Ben Hecht (screen play), Frances Beeding (suggested by novel: ""The House of Dr. Edwardes""), Angus MacPhail (adaptation)","Ingrid Bergman, Gregory Peck, Michael Chekhov, Leo G. Carroll","The head of the Green Manors mental asylum Dr. Murchison is retiring to be replaced by Dr. Edwardes, a famous psychiatrist. Edwardes arrives and is immediately attracted to the beautiful but cold Dr. Constance Petersen. However, it soon becomes apparent that Dr. Edwardes is in fact a paranoid amnesiac impostor. He goes on the run with Constance who tries to help his condition and solve the mystery of what happened to the real Dr. Edwardes.","English","USA","Won 1 Oscar. Another 1 win & 6 nominations.","http://ia.media-imdb.com/images/M/MV5BMTM2NDI5Nzg5Nl5BMl5BanBnXkFtZTcwNDk3NzI0NA@@._V1_SX300.jpg","N/A","7.7","30,958","tt0038109","movie","83","fresh","7.2","35","29","6","N/A","82","3.8","16650","13 Mar 2001","N/A","Twentieth Century Fox Home Entertainment","N/A","True"
"150","The Best Years of Our Lives","1946","PASSED","17 Jun 1947","172 min","Drama, Romance, War","William Wyler","Robert E. Sherwood (screen play), MacKinlay Kantor (from a novel by)","Myrna Loy, Fredric March, Dana Andrews, Teresa Wright","The story concentrates on the social re-adjustment of three World War II servicemen, each from a different station of society. Al Stephenson returns to an influential banking position, but finds it hard to reconcile his loyalties to ex-servicemen with new commercial realities. Fred Derry is an ordinary working man who finds it difficult to hold down a job or pick up the threads of his marriage. Having had both hands burnt off during the war, Homer Parrish is unsure that his fiancée's feelings are still those of love and not those of pity. Each of the veterans faces a crisis upon his arrival, and each crisis is a microcosm of the experiences of many American warriors who found an alien world awaiting them when they came marching home.","English","USA","Won 7 Oscars. Another 13 wins & 2 nominations.","http://ia.media-imdb.com/images/M/MV5BMTk1NTAxNzg3Nl5BMl5BanBnXkFtZTcwNjU4OTQwNw@@._V1_SX300.jpg","N/A","8.2","36,930","tt0036868","movie","98","certified","8.6","46","45","1","An engrossing look at the triumphs and travails of war veterans, The Best Years of Our Lives is concerned specifically with the aftermath of World War II, but its messages speak to the overall American experience.","92","4.2","10304","30 Oct 1997","N/A","RKO Radio Pictures","N/A","True"
"151","It's a Wonderful Life","1946","APPROVED","07 Jan 1947","130 min","Drama, Family, Fantasy","Frank Capra","Frances Goodrich (screenplay), Albert Hackett (screenplay), Frank Capra (screenplay), Jo Swerling (additional scenes), Philip Van Doren Stern (story)","James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell","George Bailey has spent his entire life giving of himself to the people of Bedford Falls. He has always longed to travel but never had the opportunity in order to prevent rich skinflint Mr. Potter from taking over the entire town. All that prevents him from doing so is George's modest building and loan company, which was founded by his generous father. But on Christmas Eve, George's Uncle Billy loses the business's $8,000 while intending to deposit it in the bank. Potter finds the misplaced money and hides it from Billy. When the bank examiner discovers the shortage later that night, George realizes that he will be held responsible and sent to jail and the company will collapse, finally allowing Potter to take over the town. Thinking of his wife, their young children, and others he loves will be better off with him dead, he contemplates suicide. But the prayers of his loved ones result in a gentle angel named Clarence coming to earth to help George, with the promise of earning his wings. He shows George what things would have been like if he had never been born. In a nightmarish vision in which the Potter-controlled town is sunk in sex and sin, those George loves are either dead, ruined, or miserable. He realizes that he has touched many people in a positive way and that his life has truly been a wonderful one.","English","USA","Nominated for 5 Oscars. Another 7 wins.","http://ia.media-imdb.com/images/M/MV5BMTMzMzY5NDc4M15BMl5BanBnXkFtZTcwMzc4NjIxNw@@._V1_SX300.jpg","N/A","8.6","247,468","tt0038650","movie","94","certified","8.9","68","64","4","The holiday classic to define all holiday classics, It's a Wonderful Life is one of a handful of films worth an annual viewing.","95","4.0","215831","19 Sep 1995","N/A","Liberty Films","N/A","True"
"152","The Razor's Edge","1946","APPROVED","01 Dec 1946","145 min","Drama, Film-Noir","Edmund Goulding","Lamar Trotti (screen play), W. Somerset Maugham (from the novel by)","Tyrone Power, Gene Tierney, John Payne, Anne Baxter","Well-to-do Chicagoan, Larry Darrell, breaks off his engagement to Isabel and travels the world seeking enlightenment, eventually finding his guru India. Isabel marries Gray, and following the crash of 1929, is invited to live in Paris with her rich, social climbing, Uncle Elliot. During a sojurn there, Larry, having attained his goal, is reunited with Isabel. While slumming one night Larry, Isabel and company are shocked to discover Sophie, a friend from Chicago. Having lost her husband and child in a tragic accident, Sophie is living the low-life with the help of drugs and an abusive brute. Larry tries to rehabilitate her, but his efforts are sabotaged by Isabel who tries in vain to reignite Larry's interest in herself.","English, French","USA","Won 1 Oscar. Another 2 wins & 3 nominations.","http://ia.media-imdb.com/images/M/MV5BMTg2MzE3Nzg3N15BMl5BanBnXkFtZTgwNzcyODgxMTE@._V1_SX300.jpg","N/A","7.5","3,653","tt0038873","movie","83","fresh","6.9","6","5","1","N/A","72","3.7","1854","24 May 2005","N/A","Twentieth Century Fox","N/A","True"
"153","The Yearling","1946","APPROVED","01 May 1947","128 min","Drama, Family","Clarence Brown","Paul Osborn (screen play), Marjorie Kinnan Rawlings (based on the Pulitzer Prize novel by)","Gregory Peck, Jane Wyman, Claude Jarman Jr., Chill Wills","A boy persuades his parents to allow him to adopt a young deer, but what will happen if the deer misbehaves?","English","USA","Won 2 Oscars. Another 1 win & 5 nominations.","http://ia.media-imdb.com/images/M/MV5BMTM0OTQ4NjIyMl5BMl5BanBnXkFtZTYwNzY4MTM5._V1_SX300.jpg","N/A","7.3","4,064","tt0039111","movie","100","fresh","8.4","14","14","0","N/A","75","3.5","3710","03 Sep 2002","N/A","MGM Home Entertainment","N/A","True"
"154","The Bishop's Wife","1947","NOT RATED","16 Feb 1948","109 min","Comedy, Drama, Fantasy","Henry Koster","Robert E. Sherwood (screenplay), Leonardo Bercovici (screenplay), Robert Nathan (novel)","Cary Grant, Loretta Young, David Niven, Monty Woolley","An Episcopal Bishop, Henry Brougham, has been working for months on the plans for an elaborate new cathedral which he hopes will be paid for primarily by a wealthy, stubborn widow. He is losing sight of his family and of why he became a churchman in the first place. Enter Dudley, an angel sent to help him. Dudley does help everyone he meets, but not necessarily in the way they would have preferred. With the exception of Henry, everyone loves him, but Henry begins to believe that Dudley is there to replace him, both at work and in his family's affections, as Christmas approaches.","English, French","USA","Won 1 Oscar. Another 4 nominations.","http://ia.media-imdb.com/images/M/MV5BMjA1OTI2NjQxMF5BMl5BanBnXkFtZTgwODA2NDgyMTE@._V1._CR1,38,336,460_SY132_CR3,0,89,132_AL_.jpg_V1_SX300.jpg","N/A","7.6","9,510","tt0039190","movie","82","fresh","6.5","22","18","4","The Bishop's Wife succeeds thanks to the strength of winning performances from a stellar cast, which includes Cary Grant and Loretta Young.","82","3.8","7804","06 Mar 2001","N/A","RKO Radio Pictures","N/A","True"
"155","Crossfire","1947","UNRATED","22 Jul 1947","86 min","Crime, Drama, Film-Noir","Edward Dmytryk","John Paxton (screenplay), Richard Brooks (adapted from a novel by)","Robert Young, Robert Mitchum, Robert Ryan, Gloria Grahame","Homicide Capt. Finlay finds evidence that one or more of a group of demobilized soldiers is involved in the death of Joseph Samuels. In flashbacks, we see the night's events from different viewpoints as Sergeant Keeley investigates on his own, trying to clear his friend Mitchell, to whom circumstantial evidence points. Then the real, ugly motive for the killing begins to dawn on both Finlay and Keeley...","English","USA","Nominated for 5 Oscars. Another 3 wins & 3 nominations.","http://ia.media-imdb.com/images/M/MV5BODI3NzI5ODMwM15BMl5BanBnXkFtZTgwMzg1MDkxMTE@._V1_SX300.jpg","N/A","7.4","5,042","tt0039286","movie","79","fresh","7.2","14","11","3","N/A","75","3.5","1820","05 Jul 2005","N/A","WARNER BROTHERS PICTURES","N/A","True"
"156","Gentleman's Agreement","1947","APPROVED","01 Feb 1948","118 min","Drama","Elia Kazan","Laura Z. Hobson (novel), Moss Hart (screen play)","Gregory Peck, Dorothy McGuire, John Garfield, Celeste Holm","Philip Green is a highly respected writer who is recruited by a national magazine to write a series of articles on anti-Semitism in America. He's not too keen on the series, mostly because he's not sure how to tackle the subject. Then it dawns on him: if he was to pretend to all and sundry that he was Jewish, he could then experience the degree of racism and prejudice that exists and write his story from that perspective. It takes little time for him to experience bigotry. His anger at the way he is treated also affects his relationship with Kathy Lacy, his publisher's niece and the person who suggested the series in the first place.","English","USA","Won 3 Oscars. Another 8 wins & 8 nominations.","http://ia.media-imdb.com/images/M/MV5BMjEwMDM1NTIyMF5BMl5BanBnXkFtZTYwMDE2MjE5._V1_SX300.jpg","N/A","7.4","10,006","tt0039416","movie","78","fresh","7.0","36","28","8","It occasionally fails to live up to its subject matter -- and is perhaps an 'important' film more than a 'great' one -- but the performances from Gregory Peck and Dorothy McGuire are superb.","77","3.7","5424","07 Mar 2000","N/A","Twentieth Century Fox Home Entertainment","N/A","True"
